time,bus,id,length,bitcount,mode,bytes,b1,b2,b3,b4,b5,b6,b7,b8
0.383044,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.383786,1,22,236000,122,Rx,8,01,FA,01,FC,00,00,00,22
0.384010,1,23,216000,112,Rx,7,02,20,01,F0,00,00,3D,
0.387733,1,5CD,122000,65,Rx,2,63,31,,,,,,
0.388277,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.388430,1,320,144000,76,Rx,3,00,20,46,,,,,
0.388638,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.389398,1,2D0,234000,121,Rx,8,0A,07,09,00,10,00,00,04
0.394246,1,20,148000,78,Rx,3,00,00,07,,,,,
0.394492,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.394740,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.395037,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.395535,1,2C4,228000,118,Rx,8,05,3A,00,15,00,80,11,B3
0.395845,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.396065,1,23,212000,110,Rx,7,02,20,01,EF,00,00,3C,
0.397585,1,2C1,230000,119,Rx,8,08,FD,01,01,76,A8,00,F0
0.400313,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.400565,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.400773,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.404767,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.406259,1,20,148000,78,Rx,3,00,00,07,,,,,
0.406527,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.407050,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.407846,1,22,236000,122,Rx,8,01,FA,01,FC,00,00,00,22
0.408070,1,23,216000,112,Rx,7,02,22,01,F2,00,00,41,
0.412354,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.412580,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.417034,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.418310,1,20,148000,78,Rx,3,00,00,07,,,,,
0.418556,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.418804,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.419052,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.419288,1,2C4,228000,118,Rx,8,05,34,00,15,00,80,11,AD
0.419904,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.420125,1,23,212000,110,Rx,7,02,1F,01,EE,00,00,3A,
0.421155,1,2D0,240000,124,Rx,8,0A,06,09,00,10,00,00,03
0.424401,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.424653,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.424861,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.429333,1,2C1,228000,118,Rx,8,08,FD,02,01,74,A8,00,EF
0.430349,1,20,148000,78,Rx,3,00,00,07,,,,,
0.430617,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.430747,1,57A,122000,65,Rx,2,73,06,,,,,,
0.431066,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.431947,1,22,238000,123,Rx,8,01,FC,01,FD,00,00,00,25
0.432174,1,23,218000,113,Rx,7,02,23,01,F0,00,00,40,
0.434035,1,4CE,238000,123,Rx,8,0F,00,01,05,00,00,00,00
